League,Year,Stage,Player,Team,GP,Minutes,Points,birth_date,nationality
NBA,2000,Regular_Season,Kobe Bryant,LAL,66,2524,1485,23-Aug-78,United States
NBA,2001,Regular_Season,Kobe Bryant,LAL,68,2783,1938,23-Aug-78,United States
NBA,2002,Regular_Season,Kobe Bryant,LAL,80,3063,2019,23-Aug-78,United States
NBA,2003,Regular_Season,Kobe Bryant,LAL,82,3402,2461,23-Aug-78,United States
NBA,2004,Regular_Season,LeBron James,CLE,79,3123,1654,30-Dec-84,United States
NBA,2004,Regular_Season,Kobe Bryant,LAL,65,2447,1557,23-Aug-78,United States
NBA,2005,Regular_Season,LeBron James,CLE,80,3388,2175,30-Dec-84,United States
NBA,2005,Regular_Season,Kobe Bryant,LAL,66,2689,1819,23-Aug-78,United States
NBA,2006,Regular_Season,Kobe Bryant,LAL,80,3276.6,2832,23-Aug-78,United States
NBA,2006,Regular_Season,LeBron James,CLE,79,3361.3,2478,30-Dec-84,United States
NBA,2007,Regular_Season,Kobe Bryant,LAL,77,3139.7,2430,23-Aug-78,United States
NBA,2007,Regular_Season,LeBron James,CLE,78,3190.3,2132,30-Dec-84,United States
NBA,2008,Regular_Season,Kobe Bryant,LAL,82,3192.3,2323,23-Aug-78,United States
NBA,2008,Regular_Season,LeBron James,CLE,75,3026.8,2250,30-Dec-84,United States
NBA,2008,Regular_Season,Kevin Durant,SEA,80,2768,1624,29-Sep-88,United States
NBA,2009,Regular_Season,LeBron James,CLE,81,3054,2304,30-Dec-84,United States
NBA,2009,Regular_Season,Kobe Bryant,LAL,82,2960.4,2201,23-Aug-78,United States
NBA,2009,Regular_Season,Kevin Durant,OKC,74,2884.9,1871,29-Sep-88,United States
NBA,2010,Regular_Season,Kevin Durant,OKC,82,3239.3,2472,29-Sep-88,United States
NBA,2010,Regular_Season,LeBron James,CLE,76,2965.6,2258,30-Dec-84,United States
NBA,2010,Regular_Season,Kobe Bryant,LAL,73,2835.4,1970,23-Aug-78,United States
NBA,2010,Regular_Season,James Harden,OKC,76,1738.4,753,26-Aug-89,United States
NBA,2011,Regular_Season,Kevin Durant,OKC,78,3037.7,2161,29-Sep-88,United States
NBA,2011,Regular_Season,LeBron James,MIA,79,3063,2111,30-Dec-84,United States
NBA,2011,Regular_Season,Kobe Bryant,LAL,82,2778.7,2078,23-Aug-78,United States
NBA,2011,Regular_Season,James Harden,OKC,82,2188.6,998,26-Aug-89,United States
NBA,2012,Regular_Season,Kevin Durant,OKC,66,2546.3,1850,29-Sep-88,United States
NBA,2012,Regular_Season,LeBron James,MIA,62,2326.2,1683,30-Dec-84,United States
NBA,2012,Regular_Season,Kobe Bryant,LAL,58,2232.2,1616,23-Aug-78,United States
NBA,2012,Regular_Season,James Harden,OKC,62,1946.1,1044,26-Aug-89,United States
NBA,2013,Regular_Season,Kevin Durant,OKC,81,3118.9,2280,29-Sep-88,United States
NBA,2013,Regular_Season,Kobe Bryant,LAL,78,3012.6,2133,23-Aug-78,United States
NBA,2013,Regular_Season,LeBron James,MIA,76,2877.1,2036,30-Dec-84,United States
NBA,2013,Regular_Season,James Harden,HOU,78,2984.5,2023,26-Aug-89,United States
NBA,2014,Regular_Season,Kevin Durant,OKC,81,3121.7,2593,29-Sep-88,United States
NBA,2014,Regular_Season,LeBron James,MIA,77,2901.9,2089,30-Dec-84,United States
NBA,2014,Regular_Season,James Harden,HOU,73,2777.4,1851,26-Aug-89,United States
NBA,2015,Regular_Season,James Harden,HOU,81,2980.8,2217,26-Aug-89,United States
NBA,2015,Regular_Season,LeBron James,CLE,69,2493.4,1743,30-Dec-84,United States
NBA,2016,Regular_Season,James Harden,HOU,82,3124.6,2376,26-Aug-89,United States
NBA,2016,Regular_Season,Kevin Durant,OKC,72,2577.6,2029,29-Sep-88,United States
NBA,2016,Regular_Season,LeBron James,CLE,76,2708.6,1920,30-Dec-84,United States
NBA,2017,Regular_Season,James Harden,HOU,81,2946.7,2356,26-Aug-89,United States
NBA,2017,Regular_Season,LeBron James,CLE,74,2794.6,1954,30-Dec-84,United States
NBA,2017,Regular_Season,Kevin Durant,GSW,62,2070.4,1555,29-Sep-88,United States
NBA,2018,Regular_Season,LeBron James,CLE,82,3025.8,2251,30-Dec-84,United States
NBA,2018,Regular_Season,James Harden,HOU,72,2550.8,2191,26-Aug-89,United States
NBA,2018,Regular_Season,Kevin Durant,GSW,68,2325.1,1792,29-Sep-88,United States
NBA,2019,Regular_Season,James Harden,HOU,78,2866.7,2818,26-Aug-89,United States
NBA,2019,Regular_Season,Kevin Durant,GSW,78,2701.6,2027,29-Sep-88,United States
NBA,2019,Regular_Season,LeBron James,LAL,55,1937.4,1505,30-Dec-84,United States
NBA,2020,Regular_Season,James Harden,HOU,68,2482.6,2335,26-Aug-89,United States
NBA,2020,Regular_Season,LeBron James,LAL,67,2316.3,1698,30-Dec-84,United States